ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC,Macro Precision,Macro Recall,Macro F1,Macro AUC,Training Accuracy,Training Macro F1
Logistic Regression,0.900709219858156,0.9726300482583864,0.8946562489395635,0.900709219858156,0.896618723764094,0.7165789138966333,0.8330121389331916,0.7880678708264915,0.8083291492697708,0.9708600988819684,0.9036073329390893,0.8161128839940054
Decision Tree,0.9432624113475178,0.913857387445601,0.9417670329378274,0.9432624113475178,0.9410406541072589,0.8397330416020061,0.9283619631752167,0.8744240433895606,0.8982660455486543,0.9166318367836429,0.9775280898876404,0.959297726907518
K-Nearest Neighbor,0.91725768321513,0.9373427209664417,0.9126039227942369,0.91725768321513,0.9121961010265537,0.7606880510465183,0.8768830484471232,0.7838085286361149,0.8239215889538679,0.9249381350944401,0.9988172678888232,0.9983164763883371
Naive Bayes,0.817966903073286,0.9344048747596109,0.8771205615719487,0.817966903073286,0.8358295971847014,0.6066683640135482,0.6744658794246413,0.7471463402497885,0.6906968934928018,0.8939546864720516,0.8172678888231816,0.7052609299843849
Random Forest,0.9527186761229315,0.9876090131263501,0.9514515025868503,0.9527186761229315,0.9510958009626794,0.8672116834982784,0.9424569827931172,0.8964522067970343,0.9173619913435666,0.9876776646842996,0.9923122412773506,0.9877421799563594
