ML Model Name,Best Parameters,CV Macro F1 Mean,CV Macro F1 Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Weighted F1 Mean,CV Weighted F1 Std,CV Accuracy Mean,CV Accuracy Std,CV AUC Mean,CV AUC Std,CV MCC Mean,CV MCC Std
Logistic Regression,"{""classifier__C"": 10.0, ""classifier__class_weight"": null}",0.7919580102387974,0.016125384150308796,0.8920001497049295,0.0083496897336468,0.8917788134261926,0.005181563164194326,0.8909230415554076,0.006491810889852379,0.8917788134261926,0.005181563164194326,0.9704676692105638,0.004234535233194584,0.704126346742765,0.016326540469995342
Decision Tree,"{""max_depth"": 10, ""min_samples_leaf"": 2}",0.872980662413824,0.02035232287411431,0.9251466426833602,0.012107592434233889,0.9254961512279415,0.011831116996508673,0.9249036466245846,0.011628980537709312,0.9254961512279415,0.011831116996508673,0.8990736544475295,0.012763007072904379,0.7937000145383097,0.03174796631812639
K-Nearest Neighbor,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.8178487140206908,0.03479176468218459,0.9005526230176228,0.01990921216817198,0.9030283988759141,0.018001786683591713,0.9010497635454187,0.01936137139069975,0.9030283988759141,0.018001786683591713,0.9355496269965284,0.025464468891799926,0.7278928406102105,0.053657608745851244
Naive Bayes,"{""var_smoothing"": 1e-11}",0.7069453594543066,0.03087924258316161,0.8767005039817517,0.014145575834900585,0.8190361487842768,0.022294363065189927,0.8352924215546219,0.019368453932652692,0.8190361487842768,0.022294363065189927,0.9350058067922096,0.009604929305343698,0.6173744790332958,0.04189812712127328
Random Forest,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 2}",0.8886152440348359,0.015962080001623205,0.9389423518665764,0.01002937084348795,0.9396851163358992,0.009976240126231085,0.9387562707631056,0.01003281000776193,0.9396851163358992,0.009976240126231085,0.983324084822694,0.005571298160577462,0.8331027105172154,0.02737425740231101
