ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.900709219858156,0.9726300482583864,0.8946562489395635,0.900709219858156,0.896618723764094,0.7165789138966333
Decision Tree,0.9432624113475178,0.913857387445601,0.9417670329378274,0.9432624113475178,0.9410406541072589,0.8397330416020061
K-Nearest Neighbor,0.91725768321513,0.9373427209664417,0.9126039227942369,0.91725768321513,0.9121961010265537,0.7606880510465183
Naive Bayes,0.817966903073286,0.9344048747596109,0.8771205615719487,0.817966903073286,0.8358295971847014,0.6066683640135482
Random Forest,0.9527186761229315,0.9876090131263501,0.9514515025868503,0.9527186761229315,0.9510958009626794,0.8672116834982784
